,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,ML_model,param_C,param_penalty,param_solver
0,7.56201319694519,0.05535251032175452,0.16682968139648438,0.007673915213805766,False,balanced,gini,32,sqrt,5,19,301,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 32), ('max_features', 'sqrt'), ('min_samples_leaf', 5), ('min_samples_split', 19), ('n_estimators', 301)])",0.3790523690773067,0.40049751243781095,0.4228855721393035,0.3880597014925373,0.39552238805970147,0.39720350864133197,0.014739864921919145,3,RandomForestClassifier,,,
1,1.1664472103118897,0.1386321337907747,0.031785440444946286,0.005363390398990901,True,balanced,entropy,95,sqrt,2,9,51,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 95), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 9), ('n_estimators', 51)])",0.20698254364089774,0.20149253731343283,0.24875621890547264,0.24129353233830847,0.19900497512437812,0.21950596146449794,0.021127639193686716,5,RandomForestClassifier,,,
2,7.1229448318481445,0.08094219817477935,0.18104910850524902,0.011968010166284642,False,balanced,entropy,44,log2,5,9,318,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 44), ('max_features', 'log2'), ('min_samples_leaf', 5), ('min_samples_split', 9), ('n_estimators', 318)])",0.3640897755610973,0.3781094527363184,0.39800995024875624,0.3805970149253731,0.39303482587064675,0.3827682038684383,0.011941658742638401,4,RandomForestClassifier,,,
3,9.421324157714844,0.048464422737924104,0.27775940895080564,0.010324486862281478,True,balanced,gini,80,sqrt,2,38,556,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 38), ('n_estimators', 556)])",0.38902743142144636,0.4129353233830846,0.42039800995024873,0.39054726368159204,0.39552238805970147,0.4016860832992147,0.012641103672546034,2,RandomForestClassifier,,,
4,3.3992463111877442,0.010309995592688278,0.10831069946289062,0.003121802426622933,True,balanced,gini,72,sqrt,7,22,200,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 72), ('max_features', 'sqrt'), ('min_samples_leaf', 7), ('min_samples_split', 22), ('n_estimators', 200)])",0.3940149625935162,0.39800995024875624,0.41044776119402987,0.42786069651741293,0.39800995024875624,0.40566866416049435,0.012397149885053095,1,RandomForestClassifier,,,
0,0.35902204513549807,0.11041691059642042,0.007908058166503907,0.0035687924148152623,,,,,,,,,"OrderedDict([('C', 0.01592499032163409), ('penalty', 'l2'), ('solver', 'lbfgs')])",0.6209476309226932,0.6965174129353234,0.6791044776119403,0.6567164179104478,0.7089552238805971,0.6724482326522004,0.031164702528937813,5,LogisticRegression,0.01592499032163409,l2,lbfgs
1,0.2781100273132324,0.06440057595137556,0.00439143180847168,0.0012879163146493995,,,,,,,,,"OrderedDict([('C', 5594575.138586148), ('penalty', 'l2'), ('solver', 'lbfgs')])",0.6209476309226932,0.7089552238805971,0.6990049751243781,0.664179104477612,0.6915422885572139,0.6769258445924988,0.03169558128830311,3,LogisticRegression,5594575.138586148,l2,lbfgs
2,0.39042186737060547,0.1357827541943711,0.004395484924316406,0.0013736739386381615,,,,,,,,,"OrderedDict([('C', 0.07882250741043163), ('penalty', 'l2'), ('solver', 'lbfgs')])",0.6483790523690773,0.6965174129353234,0.6691542288557214,0.6567164179104478,0.7114427860696517,0.6764419796280443,0.023907389890049285,4,LogisticRegression,0.07882250741043163,l2,lbfgs
3,0.22914199829101561,0.03661471760004806,0.0035790443420410157,0.0002967382423570742,,,,,,,,,"OrderedDict([('C', 1769781.9733350645), ('penalty', 'l2'), ('solver', 'lbfgs')])",0.6508728179551122,0.6890547263681592,0.6990049751243781,0.6567164179104478,0.6915422885572139,0.6774382451830622,0.019667773459671998,2,LogisticRegression,1769781.9733350645,l2,lbfgs
4,0.2611103534698486,0.034885658909414766,0.004269075393676758,0.000976781934526215,,,,,,,,,"OrderedDict([('C', 979645.2389085228), ('penalty', 'l2'), ('solver', 'lbfgs')])",0.6508728179551122,0.7064676616915423,0.6990049751243781,0.6567164179104478,0.6915422885572139,0.6809208322477389,0.02272104261995355,1,LogisticRegression,979645.2389085228,l2,lbfgs
